Date,PM2.5,PM10,CO,NO2,Temperature
2024-02-01,60,81,6.456113296927449,7.325677452587346,22.062477376718654
2024-02-02,144,153,0.9329856534509835,28.91095842056666,38.05105813359133
2024-02-03,30,47,1.7001242695366765,29.328580472454792,30.105047448957144
2024-02-04,82,47,8.995686466418084,33.6843455674193,36.52914932215484
2024-02-05,27,127,6.10364769062994,37.67411001751977,26.400992020612236
2024-02-06,141,63,0.1910508110046335,48.91334357581406,37.91046456992401
2024-02-07,98,103,1.104568274373718,28.23351567355379,27.784033574683264
2024-02-08,69,49,6.668667514169752,19.533041282356066,20.216753029605968
2024-02-09,23,94,0.150109680077565,40.78337876459167,38.10763952838528
2024-02-10,18,147,1.6919997090332368,17.187451306793342,21.82573353572267
2024-02-11,99,111,5.532464514729202,24.753713931753623,26.3862727518083
2024-02-12,62,148,6.9497624571576635,8.530537160401968,39.0012393410161
2024-02-13,139,140,6.554416469075745,6.1407834536955885,39.012142938751126
2024-02-14,93,46,2.320266163659542,48.31917866050663,31.46875776246572
2024-02-15,101,140,7.150574291340605,42.61910542304926,32.63674424339598
2024-02-16,120,135,2.4487659662183208,36.31883927421641,28.968910439566393
2024-02-17,17,22,3.321457011776751,23.402882498642146,25.86421543396129
2024-02-18,44,122,7.490264910668439,12.798244403188061,26.57329090739832
2024-02-19,90,174,6.531365700567425,12.039666920198872,33.45036912154077
2024-02-20,59,156,8.507311763892362,16.26093041740679,35.047490588753604
2024-02-21,113,81,6.610367633773399,29.71519991177542,35.83158087451697
2024-02-22,141,184,5.726255173021169,37.156816521502805,35.79236285589108
2024-02-23,11,70,1.0273802014981155,34.70888195229791,21.824122060973806
2024-02-24,143,191,3.740386450288392,17.59702536256743,29.88840609405163
2024-02-25,63,171,2.7255034400490823,47.96893762984374,21.151175200332887
2024-02-26,115,78,2.5154974694529275,38.20536125130958,30.990577646474712
2024-02-27,13,137,9.732804492049212,29.945932363013032,28.83061002746754
2024-02-28,63,179,3.9916674742009284,32.527433580545846,37.754083655166
2024-02-29,53,115,8.931260896253422,23.882002809250547,27.018300251041573
2024-03-01,23,199,6.348272397372902,16.147894527552086,22.341340328552118
2024-03-02,104,132,7.9686319050623196,21.01877053930677,22.859833641056717
2024-03-03,57,81,5.076107221741402,39.10307497089661,35.23021263434944
2024-03-04,24,71,5.811348457800955,5.647706988339014,32.36436126632522
2024-03-05,49,31,4.975925168806753,10.223268822811232,22.022453522455805
2024-03-06,91,58,2.0329055792006407,7.070118890978874,21.682136122299948
2024-03-07,120,149,7.252275941088903,6.8327961043536565,34.0193826291824
2024-03-08,62,150,2.8796463881644727,43.495726280495326,21.45526012728387
2024-03-09,33,132,0.340728067671393,36.664603672101066,36.437201185807126
2024-03-10,133,120,6.490175729480962,26.337822308929635,34.124844543129925
2024-03-11,50,132,1.8533957261297846,9.402537229295067,21.626975612837995
2024-03-12,24,100,9.410539985093852,27.122714380257456,21.69675428170384
2024-03-13,54,132,9.543892912325616,26.306229685125455,39.73279157002351
2024-03-14,74,21,9.15715746318244,12.794084145950684,27.485415915122406
2024-03-15,98,149,3.7645711325288995,24.523324215708787,27.412842941337818
2024-03-16,80,73,0.25302050363578754,22.932713047881805,36.25599134515005
2024-03-17,18,106,9.29035376961848,32.71325441234974,38.94497154767717
2024-03-18,97,148,4.339023068341412,33.579214289043975,39.720021276457416
2024-03-19,138,166,9.66988270853233,7.038680439742003,35.067563705178834
2024-03-20,145,145,9.639837773183602,21.857567658191204,27.525191710618316
2024-03-21,72,149,8.544793609126865,33.16369620714064,21.670014333973377
2024-03-22,148,72,3.0150440314888987,27.641131636103946,35.542938318548735
2024-03-23,90,191,3.9124675131590605,43.542042853474506,31.1680849947161
2024-03-24,145,179,8.526253048016883,34.64121342285253,28.484440184939526
2024-03-25,42,179,3.2375278510471492,12.332049218664336,38.12708770189472
2024-03-26,132,87,1.7779781921923157,8.175593633019343,22.223949646123028
2024-03-27,14,142,5.612332498337667,33.9088675192842,29.852502085817182
2024-03-28,50,164,9.367932264191731,6.193008974372981,20.227072895348382
2024-03-29,37,57,6.990694987082232,31.35990115730585,29.373212839882527
2024-03-30,144,43,5.743605583884713,47.31036086412309,21.126065513636746
2024-03-31,81,88,1.0620472883306085,30.896338004414552,22.376358325361437
2024-04-01,21,135,6.18857154432178,22.467646679293487,22.350524935542097
2024-04-02,42,117,9.901533116032207,33.947969829905894,32.984206042321276
2024-04-03,57,158,1.486831750841588,25.62138007211825,34.92089758530847
2024-04-04,71,163,5.231463558400994,29.552755519217072,31.667375301943192
2024-04-05,46,116,8.785993412086759,47.36591639494363,39.24345096949084
2024-04-06,108,143,7.433609315766624,22.37461870103484,27.49741159047408
2024-04-07,113,89,7.000455835853153,48.25357537207614,25.714241725637216
2024-04-08,44,112,7.054592431472382,45.74077888802287,37.3719825637892
2024-04-09,110,22,3.6589623970755762,13.81060106551834,24.47191677038905
